iter	Passed	Remaining
0	169	168964
1	173	86463
2	176	58629
3	179	44632
4	181	36192
5	184	30567
6	189	26816
7	190	23638
8	193	21342
9	197	19593
10	200	18027
11	203	16778
12	206	15693
13	209	14788
14	211	13892
15	214	13191
16	216	12543
17	219	11963
18	221	11429
19	223	10947
20	224	10489
21	227	10124
22	230	9789
23	234	9519
24	236	9234
25	238	8942
26	240	8668
27	243	8441
28	245	8208
29	246	7985
30	248	7764
31	250	7562
32	251	7375
33	253	7190
34	254	7013
35	256	6864
36	258	6724
37	260	6593
38	261	6453
39	263	6317
40	264	6184
41	265	6061
42	267	5944
43	268	5829
44	269	5722
45	270	5619
46	272	5527
47	274	5442
48	275	5351
49	276	5260
50	278	5174
51	279	5093
52	280	5015
53	281	4937
54	283	4865
55	284	4792
56	285	4727
57	287	4669
58	288	4608
59	290	4548
60	291	4488
61	292	4431
62	294	4375
63	295	4318
64	296	4266
65	297	4214
66	298	4163
67	301	4127
68	302	4085
69	304	4044
70	305	4000
71	308	3970
72	309	3931
73	311	3894
74	312	3850
75	313	3812
76	315	3780
77	317	3758
78	319	3721
79	320	3684
80	321	3650
81	323	3623
82	324	3583
83	325	3549
84	327	3520
85	328	3490
86	330	3466
87	332	3443
88	334	3419
89	335	3391
90	336	3365
91	338	3339
92	339	3313
93	340	3286
94	342	3258
95	343	3232
96	345	3213
97	347	3194
98	348	3171
99	350	3152
100	351	3131
101	353	3109
102	354	3088
103	356	3069
104	357	3048
105	359	3029
106	361	3015
107	363	2999
108	364	2978
109	365	2961
110	367	2944
111	369	2928
112	370	2910
113	372	2892
114	373	2876
115	375	2864
116	377	2848
117	379	2836
118	381	2821
119	382	2805
120	384	2793
121	386	2778
122	387	2764
123	390	2758
124	392	2747
125	393	2730
126	395	2717
127	397	2704
128	399	2695
129	400	2681
130	402	2666
131	403	2654
132	405	2645
133	407	2633
134	408	2620
135	410	2607
136	411	2592
137	413	2580
138	414	2567
139	416	2555
140	418	2550
141	420	2538
142	421	2528
143	423	2515
144	424	2503
145	426	2493
146	427	2481
147	429	2470
148	430	2460
149	432	2449
150	434	2441
151	436	2434
152	437	2423
153	439	2412
154	440	2400
155	441	2390
156	442	2378
157	444	2367
158	445	2355
159	447	2348
160	448	2337
161	450	2330
162	452	2322
163	453	2312
164	455	2303
165	456	2293
166	457	2283
167	459	2273
168	460	2263
169	461	2255
170	463	2247
171	465	2240
172	466	2230
173	467	2221
174	469	2212
175	470	2203
176	472	2194
177	473	2185
178	474	2176
179	476	2169
180	477	2161
181	479	2156
182	481	2148
183	482	2140
184	483	2131
185	485	2123
186	486	2114
187	487	2105
188	488	2097
189	490	2089
190	491	2083
191	493	2077
192	495	2070
193	496	2062
194	497	2055
195	499	2048
196	500	2041
197	502	2033
198	503	2026
199	504	2019
200	506	2012
201	508	2008
202	511	2006
203	512	1999
204	513	1992
205	515	1985
206	516	1979
207	518	1973
208	519	1966
209	520	1959
210	522	1955
211	525	1952
212	526	1946
213	528	1941
214	530	1935
215	531	1930
216	533	1924
217	534	1918
218	536	1914
219	539	1911
220	540	1906
221	542	1900
222	544	1895
223	546	1891
224	547	1886
225	549	1881
226	551	1877
227	554	1875
228	555	1870
229	557	1866
230	558	1860
231	560	1855
232	562	1850
233	563	1844
234	564	1838
235	566	1834
236	569	1831
237	571	1829
238	572	1824
239	574	1819
240	575	1813
241	577	1808
242	578	1802
243	579	1796
244	581	1792
245	583	1789
246	585	1784
247	586	1779
248	588	1773
249	589	1768
250	590	1762
251	592	1757
252	593	1752
253	594	1746
254	596	1742
255	598	1739
256	600	1735
257	601	1730
258	603	1725
259	604	1719
260	605	1714
261	606	1709
262	608	1704
263	609	1699
264	611	1695
265	613	1693
266	615	1688
267	616	1684
268	618	1679
269	619	1674
270	620	1669
271	622	1665
272	623	1661
273	625	1656
274	627	1655
275	629	1650
276	630	1646
277	632	1642
278	633	1637
279	635	1633
280	636	1628
281	637	1623
282	639	1620
283	641	1618
284	643	1615
285	645	1611
286	646	1606
287	648	1602
288	649	1598
289	651	1594
290	652	1589
291	653	1584
292	655	1582
293	657	1579
294	659	1575
295	660	1571
296	662	1567
297	663	1563
298	664	1558
299	666	1554
300	667	1550
301	668	1545
302	671	1543
303	672	1540
304	674	1536
305	675	1532
306	676	1528
307	678	1523
308	679	1519
309	680	1515
310	682	1511
311	683	1507
312	685	1505
313	687	1501
314	688	1497
315	690	1494
316	691	1490
317	692	1486
318	694	1482
319	695	1478
320	697	1474
321	699	1471
322	701	1469
323	702	1466
324	704	1462
325	705	1459
326	707	1455
327	708	1451
328	709	1447
329	711	1443
330	712	1440
331	714	1437
332	716	1434
333	717	1431
334	719	1427
335	720	1424
336	722	1420
337	723	1416
338	724	1413
339	725	1409
340	727	1405
341	728	1402
342	730	1399
343	732	1396
344	733	1392
345	734	1388
346	736	1385
347	737	1381
348	738	1378
349	740	1374
350	741	1371
351	743	1369
352	745	1366
353	747	1363
354	748	1359
355	749	1356
356	751	1353
357	752	1349
358	754	1346
359	755	1343
360	756	1339
361	759	1339
362	761	1336
363	763	1334
364	765	1331
365	767	1329
366	768	1325
367	769	1322
368	771	1319
369	773	1316
370	775	1314
371	776	1311
372	778	1307
373	779	1304
374	781	1301
375	782	1298
376	783	1295
377	784	1291
378	786	1288
379	788	1285
380	790	1283
381	791	1280
382	793	1277
383	794	1274
384	796	1271
385	797	1268
386	798	1265
387	800	1262
388	802	1261
389	804	1258
390	806	1256
391	807	1252
392	809	1249
393	810	1246
394	811	1243
395	813	1240
396	814	1237
397	816	1234
398	819	1233
399	820	1231
400	822	1228
401	823	1224
402	824	1222
403	826	1218
404	827	1215
405	828	1212
406	829	1209
407	831	1206
408	834	1205
409	836	1203
410	837	1200
411	838	1197
412	840	1194
413	841	1191
414	842	1187
415	843	1184
416	845	1181
417	847	1180
418	849	1178
419	851	1175
420	852	1172
421	853	1169
422	855	1166
423	856	1164
424	858	1161
425	859	1158
426	861	1155
427	863	1154
428	865	1151
429	866	1148
430	868	1146
431	869	1143
432	871	1141
433	873	1138
434	874	1136
435	877	1134
436	879	1132
437	880	1130
438	882	1127
439	884	1125
440	885	1122
441	887	1120
442	889	1118
443	892	1117
444	894	1115
445	896	1113
446	898	1111
447	900	1109
448	902	1106
449	904	1105
450	906	1103
451	908	1101
452	909	1098
453	911	1095
454	912	1092
455	913	1090
456	915	1087
457	917	1085
458	918	1083
459	921	1081
460	922	1078
461	924	1076
462	925	1073
463	926	1070
464	928	1067
465	929	1065
466	931	1062
467	933	1060
468	935	1058
469	936	1056
470	938	1053
471	939	1051
472	941	1049
473	943	1047
474	945	1044
475	946	1042
476	948	1040
477	951	1038
478	952	1036
479	954	1034
480	956	1031
481	958	1029
482	959	1027
483	960	1024
484	963	1022
485	965	1021
486	967	1018
487	969	1017
488	970	1014
489	972	1012
490	974	1009
491	975	1007
492	977	1005
493	979	1003
494	981	1001
495	982	998
496	984	996
497	986	994
498	987	991
499	989	989
500	990	986
501	992	984
502	994	982
503	995	979
504	996	977
505	998	974
506	999	972
507	1001	969
508	1002	967
509	1003	964
510	1005	962
511	1007	959
512	1008	957
513	1010	955
514	1011	952
515	1013	950
516	1014	947
517	1015	944
518	1016	942
519	1018	939
520	1019	937
521	1021	935
522	1023	933
523	1025	931
524	1026	928
525	1028	926
526	1029	923
527	1030	921
528	1032	918
529	1033	916
530	1034	913
531	1036	911
532	1038	910
533	1039	907
534	1041	905
535	1042	902
536	1044	900
537	1045	897
538	1046	895
539	1048	892
540	1049	890
541	1050	888
542	1052	885
543	1054	883
544	1055	881
545	1057	879
546	1058	876
547	1059	874
548	1061	871
549	1062	869
550	1064	867
551	1065	865
552	1067	863
553	1069	860
554	1070	858
555	1072	856
556	1073	854
557	1075	851
558	1076	849
559	1078	847
560	1079	844
561	1081	843
562	1083	841
563	1085	838
564	1086	836
565	1087	834
566	1089	831
567	1090	829
568	1091	827
569	1093	824
570	1094	822
571	1096	820
572	1098	818
573	1099	816
574	1101	813
575	1102	811
576	1103	809
577	1105	807
578	1106	804
579	1108	802
580	1109	800
581	1111	798
582	1113	796
583	1114	794
584	1116	791
585	1117	789
586	1119	787
587	1120	785
588	1122	783
589	1123	780
590	1125	778
591	1127	776
592	1128	774
593	1129	772
594	1131	770
595	1132	767
596	1134	765
597	1135	763
598	1136	760
599	1137	758
600	1139	756
601	1140	754
602	1142	752
603	1143	749
604	1144	747
605	1146	745
606	1147	742
607	1148	740
608	1149	738
609	1151	736
610	1152	733
611	1153	731
612	1155	729
613	1156	727
614	1158	725
615	1159	722
616	1161	720
617	1162	718
618	1163	716
619	1164	713
620	1166	711
621	1167	709
622	1168	707
623	1170	705
624	1172	703
625	1173	701
626	1174	698
627	1175	696
628	1177	694
629	1178	692
630	1179	689
631	1181	687
632	1182	685
633	1183	683
634	1185	681
635	1187	679
636	1189	677
637	1190	675
638	1192	673
639	1193	671
640	1194	668
641	1195	666
642	1197	664
643	1198	662
644	1200	660
645	1201	658
646	1203	656
647	1204	654
648	1206	652
649	1207	650
650	1209	648
651	1210	646
652	1211	643
653	1213	641
654	1214	639
655	1216	637
656	1217	635
657	1219	633
658	1220	631
659	1222	629
660	1223	627
661	1225	625
662	1226	623
663	1228	621
664	1230	619
665	1231	617
666	1233	615
667	1234	613
668	1235	611
669	1236	609
670	1238	607
671	1239	605
672	1241	603
673	1243	601
674	1245	599
675	1246	597
676	1248	595
677	1249	593
678	1251	591
679	1253	589
680	1254	587
681	1256	585
682	1257	583
683	1259	582
684	1261	580
685	1264	578
686	1266	576
687	1267	575
688	1269	573
689	1270	571
690	1272	569
691	1274	567
692	1276	565
693	1278	563
694	1279	561
695	1281	559
696	1282	557
697	1284	555
698	1285	553
699	1287	551
700	1289	549
701	1290	547
702	1292	546
703	1294	544
704	1295	542
705	1297	540
706	1298	538
707	1300	536
708	1301	534
709	1303	532
710	1305	530
711	1307	528
712	1308	526
713	1310	524
714	1311	522
715	1313	520
716	1314	518
717	1316	516
718	1317	514
719	1319	513
720	1321	511
721	1323	509
722	1324	507
723	1325	505
724	1326	503
725	1328	501
726	1329	499
727	1330	497
728	1332	495
729	1334	493
730	1336	491
731	1337	489
732	1339	487
733	1340	485
734	1342	483
735	1343	481
736	1344	479
737	1346	477
738	1347	476
739	1349	474
740	1351	472
741	1352	470
742	1354	468
743	1355	466
744	1356	464
745	1358	462
746	1359	460
747	1360	458
748	1362	456
749	1364	454
750	1366	453
751	1368	451
752	1369	449
753	1371	447
754	1372	445
755	1373	443
756	1375	441
757	1376	439
758	1378	437
759	1380	436
760	1382	434
761	1384	432
762	1385	430
763	1386	428
764	1388	426
765	1389	424
766	1391	422
767	1393	420
768	1395	419
769	1396	417
770	1397	415
771	1398	413
772	1400	411
773	1401	409
774	1403	407
775	1404	405
776	1406	403
777	1409	402
778	1410	400
779	1412	398
780	1413	396
781	1415	394
782	1417	392
783	1419	390
784	1420	389
785	1422	387
786	1424	385
787	1426	383
788	1427	381
789	1429	379
790	1430	377
791	1431	376
792	1433	374
793	1434	372
794	1436	370
795	1438	368
796	1440	366
797	1441	364
798	1443	363
799	1444	361
800	1446	359
801	1447	357
802	1448	355
803	1450	353
804	1452	351
805	1454	350
806	1455	348
807	1456	346
808	1458	344
809	1459	342
810	1461	340
811	1462	338
812	1464	336
813	1466	335
814	1469	333
815	1471	331
816	1473	330
817	1474	328
818	1475	326
819	1477	324
820	1478	322
821	1480	320
822	1482	318
823	1484	317
824	1486	315
825	1488	313
826	1489	311
827	1491	309
828	1492	307
829	1494	306
830	1495	304
831	1497	302
832	1499	300
833	1500	298
834	1502	296
835	1503	294
836	1504	293
837	1506	291
838	1508	289
839	1510	287
840	1513	286
841	1514	284
842	1515	282
843	1517	280
844	1518	278
845	1520	276
846	1521	274
847	1522	272
848	1524	271
849	1526	269
850	1528	267
851	1529	265
852	1531	263
853	1533	262
854	1534	260
855	1536	258
